ICAO,IATA,Name,City,Country,Altitude,Latitude,Longitude
KABI,ABI,ABILENE RGNL,ABILENE,USA,546,32.411,-99.682
KACK,ACK,NANTUCKET MEM,NANTUCKET,USA,15,41.253,-70.06
KACT,ACT,WACO RGNL,WACO,USA,158,31.611,-97.23
KACY,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,23,39.458,-74.577
KADM,ADM,ARDMORE MUNI,ARDMORE,USA,233,34.303,-97.019
KADW,ADW,ANDREWS AFB,CAMP SPRINGS,USA,86,38.811,-76.867
KAEX,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,28,31.327,-92.548
KAGS,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,44,33.37,-81.964
KAKR,AKR,AKRON FULTON INTERNATIONAL,AKRON,USA,326,41.038,-81.467
KALB,ALB,ALBANY INTERNATIONAL,ALBANY,USA,87,42.748,-73.803
KALI,ALI,ALICE INTERNATIONAL,ALICE,USA,55,27.741,-98.027
KAMA,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,1100,35.219,-101.706
KANB,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,187,33.588,-85.858
KAND,AND,ANDERSON RGNL,ANDERSEN,USA,239,34.495,-82.709
KAOO,AOO,ALTOONA BLAIR CO,ALTOONA,USA,459,40.296,-78.32
KAPG,APG,PHILLIPS AAF,ABERDEEN,USA,18,39.466,-76.169
KARA,ARA,ACADIANA REGIONAL,LOUISIANA,USA,8,30.038,-91.884
KART,ART,WATERTOWN INTERNATIONAL,WATERTOWN,USA,100,43.992,-76.022
KATL,ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,313,33.64,-84.427
KAUG,AUG,AUGUSTA STATE,AUGUSTA,USA,108,44.321,-69.797
KAUS,AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,166,30.194,-97.67
KBAB,BAB,BEALE AFB,MARYSVILLE,USA,35,39.136,-121.436
KBAD,BAD,BARKSDALE AFB,SHREVEPORT,USA,51,32.502,-93.663
KBCT,BCT,BOCA RATON,BOCA RATON,USA,4,26.378,-80.107
KBDE,BDE,BAUDETTE INTERNATIONAL,BAUDETTE,USA,332,48.728,-94.612
KBDL,BDL,BRADLEY INTERNATIONAL,WINDSOR LOCKS,USA,53,41.939,-72.683
KBDR,BDR,IGOR I SIKORSKY MEM,STRATFORD,USA,3,41.163,-73.126
KBED,BED,LAURENCE G HANSCOM FLD,BEDFORD,USA,41,42.47,-71.289
KBFI,BFI,BOEING FLD KING CO INTERNATIONAL,SEATTLE,USA,6,47.53,-122.302
KBFL,BFL,MEADOWS FLD,BAKERSFIELD,USA,155,35.433,-119.057
KBFM,BFM,MOBILE DOWNTOWN,MOBILE,USA,8,30.626,-88.068
KBGR,BGR,BANGOR INTERNATIONAL,BANGOR,USA,59,44.807,-68.828
KBHM,BHM,BIRMINGHAM INTERNATIONAL,BIRMINGHAM,USA,197,33.563,-86.753
KBIF,BIF,BIGGS AAF,EL PASO,USA,1203,31.849,-106.38
KBIX,BIX,KEESLER AFB,BILOXI,USA,11,30.411,-88.924
KBKF,BKF,BUCKLEY AFB,BUCKLEY,USA,1726,39.702,-104.751
KBLI,BLI,BELLINGHAM INTERNATIONAL,BELLINGHAM,USA,52,48.792,-122.537
KBLV,BLV,SCOTT AFB MIDAMERICA,BELLEVILLE,USA,140,38.545,-89.835
KBNA,BNA,NASHVILLE INTERNATIONAL,NASHVILLE,USA,183,36.124,-86.678
KBOI,BOI,BOISE AIR TERMINAL,BOISE,USA,876,43.564,-116.223
KBOS,BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,BOSTON,USA,6,42.364,-71.005
KBPT,BPT,SOUTHEAST TEXAS RGNL,BEAUMONT,USA,5,29.951,-94.021
KBRO,BRO,BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL,BROWNSVILLE,USA,7,25.907,-97.426
KBTR,BTR,BATON ROUGE METRO RYAN FLD,BATON ROUGE,USA,22,30.533,-91.149
KBTV,BTV,BURLINGTON INTERNATIONAL,BURLINGTON,USA,103,44.472,-73.153
KBUF,BUF,BUFFALO NIAGARA INTERNATIONAL,BUFFALO,USA,221,42.94,-78.732
KBUR,BUR,BURBANK GLENDALE PASADENA,BURBANK,USA,238,34.201,-118.359
KBWI,BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,USA,45,39.175,-76.668
KBYH,BYH,ARKANSAS INTERNATIONAL,BLYTHEVILLE,USA,77,35.964,-89.943
KBYS,BYS,BICYCLE LAKE AAF,FORT IRWIN,USA,717,35.28,-116.63
KCAE,CAE,COLUMBIA METROPOLITAN,COLOMBIA,USA,72,33.939,-81.119
KCAR,CAR,CARIBOU MUNI,CARIBOU,USA,191,46.871,-68.018
KCBM,CBM,COLUMBUS AFB,COLOMBUS,USA,67,33.644,-88.444
KCDC,CDC,CEDAR CITY RGNL,CEDAR CITY,USA,1714,37.701,-113.099
KCDS,CDS,CHILDRESS MUNI,CHILDRESS,USA,596,34.434,-100.288
KCEF,CEF,WESTOVER ARB METROPOLITAN,CHICOPEE FALLS,USA,75,42.198,-72.534
KCEW,CEW,BOB SIKES,CRESTVIEW,USA,65,30.779,-86.522
KCFD,CFD,COULTER FLD,BRYAN,USA,112,30.716,-96.331
KCHA,CHA,LOVELL FLD,CHATTANOOGA,USA,208,35.035,-85.204
KCHS,CHS,CHARLESTON AFB INTERNATIONAL,CHARLESTON,USA,14,32.899,-80.04
